"site","min","max","temp_diff","ore","azimuth","entrance_height","entrance_width","levels","shafts","1980","1981","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","NA"
"Jackson Mine, A Working",-4.55555555555556,-2.5,2.05555555555556,"Iron","90","20","75","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson Mine, B Working",-0.166666666666667,0,0.166666666666667,"Iron",NA,"6","9","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Jackson Mine, Pit 1, Adit 1",1.11111111111111,1.11111111111111,0,"Iron","240","8","10","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson Mine, Pit 4, Adit 3",-1.5,-1.5,0,"Iron","240","8","8","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson Mine, Pit 4, Tunnel, Adit 2",-3,-3,0,"Iron","240",NA,NA,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson Mine, Tram Tunnel",-2,2,4,"Iron","330","10","10","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"Jackson Mine, Tram Tunnel Exit",0,0,0,"Iron","150","7","10","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Jones' Adit",7.22222222222222,9.5,2.27777777777778,"Iron","30","1.5","5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,438,NA,411,293,314,435,728,694,2,NA,17,25,NA,NA,NA,NA,NA
"Keel Ridge Mine",3.88888888888889,10.5555555555556,6.66666666666667,"Iron","300","6","5","1",0,NA,NA,NA,NA,NA,242,NA,NA,NA,NA,NA,NA,393,NA,267,NA,203,275,324,NA,222,300,587,221,45,NA,103,NA,107,NA,30,18,NA
"Keel Ridge New Adit",0.555555555555556,0.555555555555556,0,"iron","30","4","10","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
